scheme_name,returns_5yr,predicted_5yr
Quant Infrastructure Fund,21.1,22.789513
Quant Small Cap Fund,23.2,20.319424
Quant Tax Plan- Direct Growth,22.2,18.679546
Quant Flexi Cap Fund,18.2,18.456089
Quant Multi Asset Fund,20.5,18.351341
Quant Mid Cap Fund,19.8,17.517448
PGIM India Midcap Opportunities Fund,19.0,17.420769
Parag Parikh Flexi Cap Fund,17.6,17.280987
Sundaram LT MC Tax Advantage Fund,9.8,17.20783
Nippon India Small Cap Fund,16.8,16.793976
Quant Absolute Fund,19.1,16.663006
DSP Natural Resources & New Energy – Direct Growth,12.0,16.621017
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,13.9,16.377296
Quant Active Fund,19.9,16.222408
ICICI Pru Infrastructure Fund,15.1,16.126305
Sundaram LT MC Tax Advantage Fund,9.5,16.106964
Tata Resources & Energy Fund,15.5,16.10422
Kotak Emerging Equity Fund,15.2,16.018948
Sundaram LT MC Tax Advantage Fund,8.6,16.014582
Motilal Oswal Midcap Fund,16.4,15.843689
AXIS Small Cap Fund,19.4,15.720971
HDFC Mid-Cap Opportunities Fund,13.1,15.684176
Kotak Small Cap Fund,17.0,15.549918
SBI Contra Fund,15.6,15.481845
HSBC Small Cap Fund,12.7,15.419464
Kotak India Growth Fund,15.6,15.363093
PGIM India Flexi Cap Fund,15.7,15.358999
SBI Magnum Midcap Fund,13.5,15.116305
HDFC Flexi Cap Fund,14.0,14.89311
ICICI Pru Multi-Asset Fund,14.2,14.7936125
ICICI Pru Smallcap Fund,14.9,14.768101
SBI Small Cap Fund,15.3,14.6035795
HDFC Small Cap Fund,13.5,14.565468
Mirae Asset Emerging Bluechip Fund,15.1,14.546467
SBI Long Term Advantage Fund,19.5,14.538882
Bank of India Manufacturing & Infrastr Fund,11.5,14.521373
Quant Focused Fund,13.1,14.46555
Edelweiss Mid Cap Fund,14.0,14.4108
ICICI Pru Technology Fund,21.6,14.308083
SBI Consumption Opportunities Fund,12.7,14.230935
Nippon India Consumption Fund,14.6,14.204349
Nippon India Growth Fund,14.5,14.159204
AXIS Midcap Fund,15.8,14.098807
ICICI Pru Bluechip Fund,12.3,14.089773
DSP India T.I.G.E.R. Fund,11.9,14.071765
SBI Infrastructure Fund,13.0,14.071345
Mirae Asset Tax Saver Fund,15.3,14.064538
Canara Robeco Infrastructure – Direct Growth,12.2,14.053533
Nippon India Power & Infra Fund,10.1,14.034598
IDBI Small Cap Fund,12.6,14.0309305
SBI Large & Midcap Fund,13.6,14.028314
HDFC Focused 30 Fund,11.9,14.016866
Tata Digital India Fund,22.1,13.924121
Aditya Birla SL Digital India Fund,21.1,13.915618
Quant Large and Mid Cap Fund,14.2,13.912076
Nippon India Multi Cap Fund,13.2,13.899913
ICICI Pru Large & Mid Cap Fund,13.7,13.875169
Invesco India Infrastructure Fund,14.6,13.864227
Mahindra Manulife Mid Cap Fund,14.7,13.861001
Templeton India Equity Income Fund,14.5,13.737111
UTI-Transportation & Logistics Fund,5.1,13.7274275
Tata Infrastructure Fund,13.1,13.724662
Mahindra Manulife Multi Cap Fund,15.8,13.672671
HSBC Infrastructure Fund,9.3,13.65999
SBI Long Term Advantage Fund,15.4,13.587674
IIFL Focused Equity Fund,18.1,13.562133
Franklin India Smaller Companies Fund,11.2,13.523542
ICICI Pru Value Discovery Fund,14.9,13.453872
Franklin India Flexi Cap Fund,12.0,13.375735
Kotak Flexi Cap Fund,11.7,13.347552
ICICI Pru Dividend Yield Equity Fund,12.1,13.336878
Kotak Equity Opportunities – Direct Growth,13.9,13.316293
PGIM India Elss Tax Saver Fund,13.7,13.257087
Canara Robeco Flexi Cap Fund,13.8,13.236994
Sundaram Multi Cap Fund,11.0,13.229158
SBI Long Term Advantage Fund,14.0,13.194089
Sundaram Small Cap Fund,9.3,13.187121
ICICI Pru Focused Equity Fund,13.4,13.167459
Franklin Build India Fund,13.3,13.167226
Kotak Bluechip Fund,12.6,13.162084
Mirae Asset Large Cap Fund,12.1,13.157014
Canara Robeco Bluechip Equity Fund,14.4,13.152784
ICICI Pru Equity & Debt Fund,14.3,13.145121
SBI Technology Opportunities Fund,21.0,13.068776
Baroda BNP Paribas Mid Cap Fund,13.6,13.044413
SBI Long Term Advantage Fund,14.5,13.01587
SBI BlueChip Fund,11.4,13.015521
ICICI Pru Multicap Fund,11.8,12.9588995
HDFC Multi-Asset Fund,10.9,12.957465
Nippon India Banking&Financial Services-DirGrowth,9.5,12.882553
DSP Small Cap Fund,12.5,12.878331
HDFC Balanced Advantage Fund,12.9,12.866769
UTI-Mid Cap Fund,11.4,12.857842
Baroda BNP Paribas Multi Cap Fund,12.3,12.857472
Union Small Cap Fund,12.8,12.85565
Mahindra Manulife ELSS Fund,12.0,12.8412895
Mirae Asset Great Consumer Fund,14.0,12.839136
Bank of India Midcap Tax Fund,10.6,12.813064
SBI Tax Advantage Fund,21.8,12.801394
Canara Robeco Equity Tax Saver Fund,15.5,12.776826
Kotak Tax Saver Fund,14.4,12.7238655
Navi Large & Midcap Fund,12.7,12.705522
HDFC Large and Mid Cap Fund,12.8,12.699288
Sundaram Infrastructure Advantage Fund,9.1,12.549527
ICICI Pru MidCap Fund,11.1,12.511138
ICICI Pru Long Term Wealth Enhancement Fund,11.3,12.472904
Invesco India Contra Fund,12.3,12.449861
Invesco India Multicap Fund,11.0,12.408313
Navi Large Cap Equity Fund,12.4,12.38574
UTI-Flexi Cap Fund,12.2,12.383492
Nippon India Large Cap Fund,12.6,12.368543
Canara Robeco Emerging Equities – Direct Growth,12.6,12.358957
Tata Mid Cap Growth Fund,13.5,12.334792
Edelweiss Large & Mid Cap Fund,13.2,12.319688
ICICI Pru Asset Allocator Fund,12.8,12.31709
HDFC Dynamic PE Ratio Fund,11.1,12.287779
Franklin India Focused Equity Fund,12.9,12.277721
DSP Tax Saver Fund,13.3,12.2685995
Kotak India EQ Contra Fund,14.2,12.266959
HDFC Housing Opportunities Fund,7.9,12.26485
DSP Nifty 50 Equal Weight Index Fund,10.7,12.255168
ICICI Pru Long Term Equity Fund,11.5,12.235344
Templeton India Value Fund,12.3,12.219432
LIC MF Infrastructure Fund,11.2,12.207089
ICICI Pru Exports and Services Fund,11.4,12.198167
Invesco India Midcap Fund,14.6,12.196782
Sundaram Fin Serv Opportunities – Direct Growth,12.6,12.192525
Tata Large & Mid Cap Fund,14.0,12.18741
SBI Equity Hybrid Fund,10.8,12.185094
Edelweiss Flexi Cap Fund,12.1,12.164758
